sex,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,r_charge_degree,score_text,is_recid
Male,25 - 45,African-American,0,3,0,0,0,F,(F3),Low,yes
Male,Less than 25,African-American,0,4,0,1,4,F,(M1),Low,yes
Male,Less than 25,African-American,0,8,1,0,1,F,,High,no
Male,Less than 25,African-American,0,6,0,0,3,M,(M2),Medium,yes
Male,25 - 45,African-American,0,4,0,0,0,F,,Low,no
Male,25 - 45,African-American,0,3,0,0,7,F,(M1),Low,yes
Male,25 - 45,African-American,0,10,0,0,3,F,,High,no
Male,Greater than 45,African-American,0,6,0,0,13,F,(F2),Medium,yes
Male,Less than 25,African-American,0,9,0,0,1,F,(M2),High,yes
Male,25 - 45,African-American,0,3,0,0,8,F,(M2),Low,yes
Male,25 - 45,African-American,0,7,0,1,5,F,(M1),Medium,yes
Male,25 - 45,African-American,0,10,0,0,0,F,(F3),High,yes
Male,25 - 45,African-American,0,8,0,0,4,F,(M1),High,yes
Male,25 - 45,African-American,2,9,1,3,21,F,(M1),High,yes
Female,Less than 25,African-American,0,8,0,0,2,F,,High,no
Male,Greater than 45,African-American,0,1,0,0,2,M,,Low,no
Female,Greater than 45,African-American,0,2,0,0,7,F,,Low,no
Male,25 - 45,African-American,0,7,0,0,0,F,(M1),Medium,yes
Male,25 - 45,African-American,1,8,0,4,13,F,(MO3),High,yes
Male,25 - 45,African-American,0,3,0,0,4,M,(M2),Low,yes
Male,25 - 45,African-American,0,4,0,0,0,F,,Low,no
Male,25 - 45,African-American,0,5,0,1,15,F,(M2),Medium,yes
Male,Less than 25,African-American,0,4,0,0,2,F,(M1),Low,yes
Male,Greater than 45,African-American,0,1,0,0,4,M,,Low,no
Male,25 - 45,African-American,0,3,0,0,5,F,,Low,no
Male,Greater than 45,African-American,0,7,0,0,10,M,(M2),Medium,yes
Male,25 - 45,African-American,1,10,1,2,15,F,(M1),High,yes
Male,Less than 25,African-American,0,4,0,1,1,F,(M1),Low,yes
Male,Less than 25,African-American,0,10,1,2,2,F,(M2),High,yes
Male,25 - 45,African-American,0,9,0,0,4,F,(F3),High,yes
Male,25 - 45,African-American,0,6,1,0,6,F,(F3),Medium,yes
Female,Greater than 45,African-American,0,1,0,0,0,M,,Low,no
Male,25 - 45,African-American,0,4,0,0,1,M,,Low,no
Male,25 - 45,African-American,0,6,0,0,5,F,(M2),Medium,yes
Male,25 - 45,African-American,0,2,0,0,2,F,,Low,no
Male,Less than 25,African-American,0,3,0,0,1,M,(M2),Low,yes
Female,25 - 45,African-American,0,4,0,0,1,F,(M1),Low,yes
Male,25 - 45,African-American,0,2,0,0,0,F,,Low,no
Male,25 - 45,African-American,0,2,0,0,1,M,,Low,no
Male,25 - 45,African-American,0,10,0,0,8,M,(M1),High,yes
Male,25 - 45,African-American,1,10,6,1,14,F,(M1),High,yes
Male,Less than 25,African-American,1,9,0,0,2,F,(M1),High,yes
Male,Less than 25,African-American,0,7,0,1,2,M,(M2),Medium,yes
Female,25 - 45,African-American,0,2,0,0,1,M,,Low,no
Male,25 - 45,African-American,0,7,0,0,9,F,(M1),Medium,yes
Male,Greater than 45,African-American,0,7,0,0,12,M,,Medium,no
Male,Less than 25,African-American,0,4,0,0,1,M,(M1),Low,yes
Male,Less than 25,African-American,0,2,0,0,1,F,,Low,no
Male,25 - 45,African-American,0,2,0,0,1,F,,Low,no
Male,Greater than 45,African-American,0,9,0,0,14,F,(F3),High,yes
Male,Less than 25,African-American,0,9,0,0,3,F,(M1),High,yes
Male,25 - 45,African-American,0,5,0,0,5,F,(M1),Medium,yes
Male,25 - 45,African-American,0,2,0,0,3,F,,Low,no
Male,25 - 45,African-American,0,9,1,0,10,F,(M1),High,yes
Male,Less than 25,African-American,0,4,0,0,0,F,(F3),Low,yes
