sex,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,r_charge_degree,score_text,is_recid
Male,25 - 45,Caucasian,0,6,0,0,14,F,(F2),Medium,yes
Female,25 - 45,Caucasian,0,1,0,0,0,M,,Low,no
Male,Less than 25,Caucasian,0,3,0,0,1,F,(M1),Low,yes
Male,25 - 45,Caucasian,0,4,0,0,0,F,,Low,no
Female,25 - 45,Caucasian,0,1,0,0,0,M,,Low,no
Female,Greater than 45,Caucasian,0,1,0,0,1,F,(F3),Low,yes
Male,25 - 45,Caucasian,0,5,0,0,6,F,(F3),Medium,yes
Male,25 - 45,Caucasian,0,3,0,0,5,F,(F3),Low,yes
Male,25 - 45,Caucasian,0,2,0,0,0,M,(M2),Low,yes
Female,Less than 25,Caucasian,0,4,0,0,0,F,,Low,no
Male,25 - 45,Caucasian,0,1,0,0,1,M,,Low,no
Female,25 - 45,Caucasian,0,3,0,0,3,F,,Low,no
Male,25 - 45,Caucasian,0,9,0,0,9,F,(F3),High,yes
Male,Greater than 45,Caucasian,0,1,0,0,0,F,,Low,no
Male,25 - 45,Caucasian,0,8,0,2,6,M,,High,no
Female,25 - 45,Caucasian,0,5,0,0,4,M,(F3),Medium,yes
Male,Less than 25,Caucasian,0,2,0,0,1,M,(F3),Low,yes
Male,25 - 45,Caucasian,0,2,0,0,0,M,,Low,no
Male,25 - 45,Caucasian,0,2,0,0,2,M,(M1),Low,yes
Male,25 - 45,Caucasian,0,10,0,0,9,M,(F2),High,yes
Male,Greater than 45,Caucasian,0,1,0,0,0,M,,Low,no
Male,25 - 45,Caucasian,0,2,0,0,1,F,(M1),Low,yes
Male,Greater than 45,Caucasian,0,6,0,0,20,F,(M2),Medium,yes
Male,Greater than 45,Caucasian,0,5,0,0,8,F,,Medium,no
Male,25 - 45,Caucasian,0,2,0,0,4,M,(M2),Low,yes
Male,25 - 45,Caucasian,0,6,0,1,1,F,(F3),Medium,yes
Male,Less than 25,Caucasian,0,8,0,0,0,F,,High,no
Male,25 - 45,Caucasian,0,7,0,0,1,F,(M1),Medium,yes
Male,25 - 45,Caucasian,0,8,0,0,7,F,(M1),High,yes
Male,25 - 45,Caucasian,0,8,0,0,9,F,(M2),High,yes
Female,Less than 25,Caucasian,0,7,0,0,0,F,,Medium,no
Male,25 - 45,Caucasian,0,1,0,0,2,F,(F3),Low,yes
Male,Greater than 45,Caucasian,0,1,0,0,3,F,,Low,no
Female,Greater than 45,Caucasian,0,1,0,0,0,M,,Low,no
Female,25 - 45,Caucasian,0,1,0,0,0,F,(M1),Low,yes
Male,Less than 25,Caucasian,0,6,1,2,8,F,(F2),Medium,yes
Male,25 - 45,Caucasian,0,4,0,0,0,F,,Low,no
Male,25 - 45,Caucasian,0,5,0,0,0,M,,Medium,no
Female,25 - 45,Caucasian,0,4,0,0,1,F,,Low,no
Male,25 - 45,Caucasian,0,1,0,0,1,F,,Low,no
Male,25 - 45,Caucasian,0,4,0,0,5,M,(F3),Low,yes
Male,25 - 45,Caucasian,0,5,0,0,0,F,,Medium,no
Male,25 - 45,Caucasian,0,2,0,0,1,F,(F3),Low,yes
Male,25 - 45,Caucasian,0,10,0,0,13,F,(F2),High,yes
